frame, x, y, w, h
219, 635.0, 424.5, 69.875, 87.6875
220, 641.0, 401.25, 79.625, 85.875
221, 650.0, 388.75, 76.875, 77.375
222, 658.0, 383.0, 71.5625, 71.8125
223, 663.5, 377.5, 71.75, 71.625
224, 671.5, 367.0, 73.3125, 71.0625
225, 678.5, 364.0, 75.375, 67.75
226, 681.5, 366.25, 70.125, 71.9375
227, 678.5, 385.75, 72.75, 86.75
228, 676.5, 396.0, 70.375, 72.125
229, 676.0, 409.5, 67.75, 67.6875
230, 674.0, 429.5, 68.9375, 65.8125
231, 677.0, 464.25, 70.125, 70.1875
232, 677.0, 459.75, 69.0625, 61.875
233, 680.0, 420.75, 68.6875, 73.125
234, 689.0, 376.25, 65.9375, 69.875
235, 692.5, 339.5, 72.875, 71.25
236, 691.5, 318.75, 73.375, 100.8125
237, 689.0, 283.75, 71.0, 84.3125
240, 683.0, 238.75, 73.25, 71.5
241, 676.5, 225.5, 72.6875, 68.9375
242, 673.0, 215.5, 73.9375, 71.375
243, 673.0, 207.25, 58.25, 62.0625
245, 653.0, 199.0, 73.25, 72.375
246, 647.0, 199.0, 75.1875, 74.375
247, 647.0, 207.0, 75.6875, 70.0
248, 650.5, 222.75, 72.125, 70.125
249, 651.0, 237.75, 68.5625, 69.4375
250, 648.5, 242.25, 72.5, 75.5625
251, 647.5, 254.625, 77.375, 77.75
252, 645.0, 269.25, 75.25, 69.75
253, 641.5, 302.25, 71.5625, 67.0625
254, 633.5, 341.0, 72.25, 73.4375
255, 620.5, 385.25, 74.625, 75.625
256, 613.5, 431.25, 70.3125, 68.375
257, 613.0, 428.25, 74.4375, 67.75
258, 601.5, 484.5, 73.5625, 76.0
259, 599.5, 485.0, 72.5, 76.875
260, 603.0, 451.75, 73.8125, 100.875
261, 609.5, 417.5, 84.0625, 113.125
262, 612.5, 401.25, 75.375, 75.9375
263, 632.0, 358.25, 74.875, 74.9375
264, 651.0, 319.25, 66.375, 70.5
265, 662.5, 283.75, 69.375, 72.5
266, 673.5, 260.5, 78.5, 74.125
267, 697.5, 249.25, 84.125, 76.375
268, 707.0, 240.375, 79.375, 72.125
269, 709.5, 237.25, 78.8125, 73.5
270, 710.5, 236.25, 77.0625, 74.5625
271, 699.5, 232.625, 80.5625, 73.3125
272, 698.0, 234.375, 77.9375, 70.5625
273, 698.0, 243.0, 77.5, 69.0
274, 695.5, 258.5, 79.8125, 63.0625
275, 696.0, 268.75, 79.5, 76.5
276, 698.0, 297.5, 75.0, 83.3125
277, 701.5, 324.25, 71.1875, 68.25
278, 696.0, 366.0, 76.0625, 75.625
279, 691.0, 410.25, 74.6875, 79.0625
280, 683.0, 463.75, 76.75, 75.375
281, 684.0, 458.0, 76.5625, 69.6875
282, 676.5, 531.5, 76.0, 104.125
283, 672.0, 563.0, 74.25, 83.25
284, 653.5, 501.75, 74.6875, 75.0625
285, 623.0, 448.75, 74.0, 79.0
286, 624.0, 446.25, 72.8125, 70.3125
287, 602.0, 394.75, 76.5625, 72.3125
288, 594.0, 352.75, 66.4375, 69.875
289, 573.0, 306.5, 72.625, 61.59375
290, 549.5, 278.25, 76.5, 72.3125
292, 532.0, 236.125, 78.1875, 90.3125
293, 520.0, 221.5, 70.75, 80.8125
294, 511.75, 214.625, 71.5, 71.0625
295, 518.0, 204.875, 69.6875, 73.625
296, 520.5, 195.625, 73.0625, 79.0
297, 528.5, 184.625, 54.28125, 61.6875
298, 531.5, 173.5, 47.1875, 51.15625
299, 533.5, 171.25, 46.9375, 44.90625
300, 549.0, 189.375, 62.5, 67.6875
301, 566.5, 206.875, 72.9375, 70.8125
302, 575.0, 216.0, 74.3125, 75.1875
303, 576.0, 225.75, 75.4375, 72.875
304, 577.5, 238.125, 75.0625, 68.8125
305, 585.5, 264.75, 62.625, 61.71875
306, 580.0, 270.0, 76.1875, 78.375
307, 587.0, 304.5, 83.1875, 79.5625
308, 597.5, 341.25, 74.6875, 72.3125
309, 601.0, 386.0, 72.75, 68.5
310, 604.0, 436.5, 68.5, 68.375
311, 594.0, 499.25, 74.0, 74.75
312, 597.5, 505.0, 81.8125, 91.75
313, 602.0, 523.0, 75.625, 84.1875
314, 604.0, 484.0, 78.1875, 77.3125
315, 605.5, 469.0, 76.5625, 91.9375
316, 606.0, 446.0, 77.1875, 94.9375
317, 607.0, 427.75, 77.75, 95.375
318, 606.5, 412.25, 78.5, 87.125
319, 604.5, 405.25, 77.25, 75.5
320, 600.5, 397.5, 78.0625, 77.5625
321, 602.0, 385.25, 76.0, 76.0
322, 602.5, 381.75, 74.8125, 72.1875
323, 598.0, 375.25, 83.9375, 77.875
324, 585.5, 376.25, 80.9375, 73.6875
325, 576.0, 382.75, 82.0625, 78.6875
326, 583.0, 398.25, 78.625, 82.0
327, 583.0, 417.25, 75.9375, 76.9375
328, 585.0, 451.25, 73.8125, 78.3125
329, 582.5, 463.75, 82.8125, 110.125
330, 579.0, 494.0, 81.6875, 105.9375
331, 572.0, 515.5, 82.625, 77.375
332, 566.5, 558.0, 81.5625, 86.375
333, 570.5, 495.75, 81.3125, 57.65625
334, 573.0, 512.5, 72.6875, 69.75
335, 574.0, 459.75, 79.625, 79.25
336, 573.0, 419.25, 82.125, 78.1875
337, 567.0, 378.0, 80.25, 79.0625
338, 563.0, 337.25, 73.5, 76.6875
339, 553.0, 307.0, 79.4375, 81.875
340, 552.0, 296.5, 75.625, 65.0625
341, 547.0, 276.25, 68.9375, 71.625
342, 530.5, 246.375, 64.0625, 75.1875
343, 525.5, 222.875, 75.4375, 82.375
344, 531.5, 208.375, 82.625, 83.9375
345, 529.0, 200.875, 83.9375, 83.1875
346, 526.0, 197.625, 84.5, 82.0625
347, 522.5, 196.25, 80.0625, 81.4375
348, 523.5, 205.25, 80.4375, 82.6875
349, 524.0, 213.75, 79.4375, 86.5
350, 546.5, 231.0, 34.03125, 46.71875
351, 519.0, 247.625, 84.25, 81.625
352, 514.5, 284.25, 82.375, 78.5
353, 514.5, 313.25, 61.71875, 52.9375
354, 510.25, 318.75, 80.625, 82.4375
355, 507.75, 359.25, 83.75, 85.3125
356, 505.75, 402.0, 82.5, 81.4375
357, 508.5, 452.5, 80.0625, 84.0625
358, 508.0, 444.25, 80.375, 68.75
359, 510.0, 499.5, 82.375, 72.0
360, 518.5, 558.5, 81.625, 72.8125
361, 526.5, 497.0, 80.4375, 83.6875
362, 535.0, 442.0, 80.875, 79.3125
363, 537.5, 450.75, 76.375, 57.40625
364, 544.0, 378.0, 80.6875, 110.25
365, 544.5, 363.5, 77.875, 76.9375
366, 550.0, 332.5, 75.5, 73.25
367, 552.5, 306.75, 79.3125, 79.75
368, 556.0, 284.5, 84.0625, 75.5
369, 559.0, 271.5, 84.8125, 80.0
370, 564.0, 266.5, 82.5, 82.0
371, 569.5, 265.0, 89.25, 78.3125
372, 579.0, 266.25, 84.625, 74.6875
373, 582.5, 272.25, 79.4375, 78.75
374, 583.5, 278.5, 77.5625, 70.9375
375, 585.0, 285.25, 78.625, 76.3125
376, 587.0, 294.0, 74.375, 76.8125
377, 588.0, 311.0, 72.9375, 83.1875
378, 580.5, 329.5, 75.6875, 73.25
379, 580.0, 349.25, 82.625, 79.5625
380, 589.0, 370.5, 75.25, 76.75
381, 587.5, 403.75, 74.625, 72.5
382, 577.5, 446.75, 73.0625, 73.5
383, 578.5, 438.75, 70.0, 60.15625
384, 579.0, 497.5, 83.1875, 81.4375
385, 583.5, 514.5, 77.6875, 102.1875
386, 593.5, 448.25, 70.75, 79.6875
387, 595.5, 419.0, 73.625, 107.875
388, 598.0, 400.5, 70.625, 64.6875
389, 600.5, 367.0, 73.9375, 73.5625
390, 611.0, 332.0, 58.84375, 61.4375
391, 611.0, 303.75, 70.75, 69.3125
392, 612.5, 277.75, 72.4375, 72.375
393, 615.5, 261.25, 71.8125, 69.8125
394, 620.5, 248.875, 72.8125, 77.4375
395, 623.0, 237.5, 74.375, 74.5
396, 626.0, 231.0, 69.375, 66.5625
397, 631.0, 219.125, 69.0, 68.0
398, 636.5, 216.125, 69.625, 68.4375
399, 646.0, 215.75, 67.75, 68.4375
400, 650.0, 219.75, 66.4375, 67.875
401, 655.5, 229.625, 62.40625, 67.75
402, 656.0, 234.375, 66.5, 70.9375
403, 659.5, 240.5, 66.375, 63.71875
404, 662.0, 251.25, 65.25, 63.5625
405, 661.5, 272.0, 69.6875, 66.0
406, 660.5, 295.5, 61.1875, 58.96875
407, 657.5, 310.5, 64.6875, 90.75
409, 631.5, 362.0, 60.53125, 74.25
410, 623.0, 390.5, 61.46875, 63.09375
411, 622.5, 426.75, 62.34375, 60.84375
412, 636.0, 465.0, 62.125, 63.8125
413, 636.0, 466.75, 61.96875, 66.5625
414, 653.0, 410.25, 59.28125, 59.59375
415, 661.5, 367.75, 60.21875, 61.6875
416, 663.0, 322.25, 60.78125, 52.34375
417, 657.5, 290.5, 60.03125, 62.28125
418, 658.5, 291.25, 56.46875, 50.03125
419, 657.0, 239.75, 66.0, 78.9375
420, 656.5, 232.5, 61.90625, 57.78125
421, 649.5, 210.125, 64.1875, 66.375
422, 644.0, 196.75, 58.96875, 62.78125
423, 639.5, 183.125, 65.1875, 64.6875
424, 636.0, 175.25, 63.34375, 60.0625
425, 635.0, 174.0, 61.03125, 58.34375
426, 634.0, 174.375, 62.375, 61.34375
427, 630.5, 181.75, 61.03125, 61.0
